Year,Team,Goals_For,League_Strength,Runner_Code,Winner
2000,Real Madrid,3,90,1,1
2001,Bayern Munich,1,88,1,1
2002,Real Madrid,2,90,2,1
2003,AC Milan,0,85,3,1
2004,FC Porto,3,82,4,1
2005,Liverpool,3,86,3,1
2006,Barcelona,2,89,5,1
2007,AC Milan,2,85,6,1
2008,Manchester United,1,87,7,1
2009,Barcelona,2,89,8,1
2010,Inter Milan,2,85,9,1
2011,Barcelona,3,89,8,1
2012,Chelsea,1,86,9,1
2013,Bayern Munich,2,88,10,1
2014,Real Madrid,4,90,11,1
2015,Barcelona,3,89,3,1
2016,Real Madrid,1,90,11,1
2017,Real Madrid,4,90,3,1
2018,Real Madrid,3,90,6,1
2019,Liverpool,2,86,12,1
2020,Bayern Munich,1,88,13,1
2021,Chelsea,1,86,14,1
2022,Real Madrid,1,90,6,1
2023,Manchester City,1,87,9,1
2024,Real Madrid,2,90,10,1
2025,Manchester City,3,88,15,1
2026,Real Madrid,2,90,15,0
2026,Bayern Munich,2,88,9,0
2026,Manchester City,3,89,15,0
2026,Barcelona,2,89,8,0
2026,PSG,2,88,13,0
2026,Liverpool,3,86,6,0
2026,Chelsea,2,86,14,0
2026,Inter Milan,1,85,9,0
2026,Atletico Madrid,2,87,11,0
2026,Juventus,2,85,3,0
